Pokemon,Move,Type,Category,Accuracy,Power
Golduck,Hyper Beam,Normal,,150,90
Golduck,Pay Day,Normal,,40,100
Golduck,Submission,Fighting,,80,80
Golduck,Counter,Fighting,,—,100
Golduck,Seismic Toss,Fighting,,—,100
Golduck,Rage,Normal,,20,100
Golduck,Dig,Ground,,100,100
Golduck,Mimic,Normal,,—,100
Golduck,Double Team,Normal,,—,—
Golduck,Bide,Normal,,—,—
Golduck,Swift,Normal,,60,
Golduck,Skull Bash,Normal,,100,100
Golduck,Rest,Psychic,,—,—
Golduck,Substitute,Normal,,—,—
Mankey,Leer,Normal,,—,100
Mankey,Scratch,Normal,,40,100
Mankey,Karate Chop,Normal,,50,100
Mankey,Fury Swipes,Normal,,18,80
Mankey,Focus Energy,Normal,,—,—
Mankey,Seismic Toss,Fighting,,—,100
Mankey,Thrash,Normal,,90,100
Mankey,Strength,Normal,,80,100
Mankey,Mega Punch,Normal,,80,85
Mankey,Mega Kick,Normal,,120,75
Mankey,Toxic,Poison,,—,85
Mankey,Body Slam,Normal,,85,100
Mankey,Take Down,Normal,,90,85
Mankey,Double-Edge,Normal,,100,100
Mankey,Pay Day,Normal,,40,100
Mankey,Submission,Fighting,,80,80
Mankey,Counter,Fighting,,—,100
Mankey,Rage,Normal,,20,100
Mankey,Thunderbolt,Electric,,95,100
Mankey,Thunder,Electric,,120,70
Mankey,Dig,Ground,,100,100
Mankey,Mimic,Normal,,—,100
Mankey,Double Team,Normal,,—,—
Mankey,Bide,Normal,,—,—
Mankey,Metronome,Normal,,—,—
Mankey,Swift,Normal,,60,
Mankey,Skull Bash,Normal,,100,100
Mankey,Rest,Psychic,,—,—
Mankey,Rock Slide,Rock,,75,90
Mankey,Substitute,Normal,,—,—
Mankey,Low Kick,Fighting,,50,90
Mankey,Screech,Normal,,—,85
Primeape,Fury Swipes,Normal,,18,80
Primeape,Karate Chop,Normal,,50,100
Primeape,Leer,Normal,,—,100
Primeape,Scratch,Normal,,40,100
Primeape,Focus Energy,Normal,,—,—
Primeape,Seismic Toss,Fighting,,—,100
Primeape,Thrash,Normal,,90,100
Primeape,Strength,Normal,,80,100
Primeape,Mega Punch,Normal,,80,85
Primeape,Mega Kick,Normal,,120,75
Primeape,Toxic,Poison,,—,85
Primeape,Body Slam,Normal,,85,100
Primeape,Take Down,Normal,,90,85
Primeape,Double-Edge,Normal,,100,100
Primeape,Hyper Beam,Normal,,150,90
Primeape,Pay Day,Normal,,40,100
Primeape,Submission,Fighting,,80,80
Primeape,Counter,Fighting,,—,100
Primeape,Rage,Normal,,20,100
Primeape,Thunderbolt,Electric,,95,100
Primeape,Thunder,Electric,,120,70
Primeape,Dig,Ground,,100,100
Primeape,Mimic,Normal,,—,100
Primeape,Double Team,Normal,,—,—
Primeape,Bide,Normal,,—,—
Primeape,Metronome,Normal,,—,—
Primeape,Swift,Normal,,60,
Primeape,Skull Bash,Normal,,100,100
Primeape,Rest,Psychic,,—,—
Primeape,Rock Slide,Rock,,75,90
Primeape,Substitute,Normal,,—,—
Primeape,Low Kick,Fighting,,50,90
Primeape,Screech,Normal,,—,85
Growlithe,Bite,Normal,,60,100
Growlithe,Roar,Normal,,—,100
Growlithe,Ember,Fire,,40,100
Growlithe,Leer,Normal,,—,100
Growlithe,Take Down,Normal,,90,85
Growlithe,Agility,Psychic,,—,—
Growlithe,Flamethrower,Fire,,95,100
Growlithe,Toxic,Poison,,—,85
Growlithe,Body Slam,Normal,,85,100
Growlithe,Double-Edge,Normal,,100,100
Growlithe,Rage,Normal,,20,100
Growlithe,Dragon Rage,Dragon,,—,100
Growlithe,Dig,Ground,,100,100
Growlithe,Mimic,Normal,,—,100
Growlithe,Double Team,Normal,,—,—
Growlithe,Reflect,Psychic,,—,—
Growlithe,Bide,Normal,,—,—
Growlithe,Fire Blast,Fire,,120,85
Growlithe,Swift,Normal,,60,
Growlithe,Skull Bash,Normal,,100,100
Growlithe,Rest,Psychic,,—,—
Growlithe,Substitute,Normal,,—,—
Arcanine,Ember,Fire,,40,100
Arcanine,Leer,Normal,,—,100
Arcanine,Roar,Normal,,—,100
Arcanine,Take Down,Normal,,90,85
Arcanine,Agility,Psychic,,—,—
Arcanine,Bite,Normal,,60,100
Arcanine,Flamethrower,Fire,,95,100
Arcanine,Toxic,Poison,,—,85
Arcanine,Body Slam,Normal,,85,100
Arcanine,Double-Edge,Normal,,100,100
Arcanine,Hyper Beam,Normal,,150,90
Arcanine,Rage,Normal,,20,100
Arcanine,Dragon Rage,Dragon,,—,100
Arcanine,Dig,Ground,,100,100
Arcanine,Teleport,Psychic,,—,—
Arcanine,Mimic,Normal,,—,100
Arcanine,Double Team,Normal,,—,—
Arcanine,Reflect,Psychic,,—,—
Arcanine,Bide,Normal,,—,—
Arcanine,Fire Blast,Fire,,120,85
Arcanine,Swift,Normal,,60,
Arcanine,Skull Bash,Normal,,100,100
Arcanine,Rest,Psychic,,—,—
Arcanine,Substitute,Normal,,—,—
Poliwag,Bubble,Water,,20,100
Poliwag,Hypnosis,Psychic,,—,60
Poliwag,Water Gun,Water,,40,100
Poliwag,DoubleSlap,Normal,,15,85
Poliwag,Body Slam,Normal,,85,100
Poliwag,Amnesia,Psychic,,—,—
Poliwag,Hydro Pump,Water,,120,80
Poliwag,Surf,Water,,95,100
Poliwag,Toxic,Poison,,—,85
Poliwag,Take Down,Normal,,90,85
Poliwag,Double-Edge,Normal,,100,100
Poliwag,BubbleBeam,Water,,65,100
Poliwag,Ice Beam,Ice,,95,100
Poliwag,Blizzard,Ice,,120,90
Poliwag,Rage,Normal,,20,100
Poliwag,Psychic,Psychic,,90,100
Poliwag,Mimic,Normal,,—,100
Poliwag,Double Team,Normal,,—,—
Poliwag,Bide,Normal,,—,—
Poliwag,Skull Bash,Normal,,100,100
Poliwag,Rest,Psychic,,—,—
Poliwag,Psywave,Psychic,,—,80
Poliwag,Substitute,Normal,,—,—
Poliwhirl,Bubble,Water,,20,100
Poliwhirl,Hypnosis,Psychic,,—,60
Poliwhirl,Water Gun,Water,,40,100
Poliwhirl,DoubleSlap,Normal,,15,85
Poliwhirl,Body Slam,Normal,,85,100
Poliwhirl,Amnesia,Psychic,,—,—
Poliwhirl,Hydro Pump,Water,,120,80
Poliwhirl,Surf,Water,,95,100
Poliwhirl,Strength,Normal,,80,100
Poliwhirl,Mega Punch,Normal,,80,85
Poliwhirl,Mega Kick,Normal,,120,75
Poliwhirl,Toxic,Poison,,—,85
Poliwhirl,Take Down,Normal,,90,85
Poliwhirl,Double-Edge,Normal,,100,100
Poliwhirl,BubbleBeam,Water,,65,100
Poliwhirl,Ice Beam,Ice,,95,100
Poliwhirl,Blizzard,Ice,,120,90
Poliwhirl,Submission,Fighting,,80,80
Poliwhirl,Counter,Fighting,,—,100
Poliwhirl,Seismic Toss,Fighting,,—,100
Poliwhirl,Rage,Normal,,20,100
Poliwhirl,Earthquake,Ground,,100,100
Poliwhirl,Fissure,Ground,,—,30
Poliwhirl,Psychic,Psychic,,90,100
Poliwhirl,Mimic,Normal,,—,100
Poliwhirl,Double Team,Normal,,—,—
Poliwhirl,Bide,Normal,,—,—
Poliwhirl,Metronome,Normal,,—,—
Poliwhirl,Skull Bash,Normal,,100,100
Poliwhirl,Rest,Psychic,,—,—
Poliwhirl,Psywave,Psychic,,—,80
Poliwhirl,Substitute,Normal,,—,—
Poliwrath,Body Slam,Normal,,85,100
Poliwrath,DoubleSlap,Normal,,15,85
Poliwrath,Hypnosis,Psychic,,—,60
Poliwrath,Water Gun,Water,,40,100
Poliwrath,Amnesia,Psychic,,—,—
Poliwrath,Bubble,Water,,20,100
Poliwrath,Hydro Pump,Water,,120,80
Poliwrath,Surf,Water,,95,100
Poliwrath,Strength,Normal,,80,100
Poliwrath,Mega Punch,Normal,,80,85
Poliwrath,Mega Kick,Normal,,120,75
Poliwrath,Toxic,Poison,,—,85
Poliwrath,Take Down,Normal,,90,85
Poliwrath,Double-Edge,Normal,,100,100
Poliwrath,BubbleBeam,Water,,65,100
Poliwrath,Ice Beam,Ice,,95,100
Poliwrath,Blizzard,Ice,,120,90
Poliwrath,Hyper Beam,Normal,,150,90
Poliwrath,Submission,Fighting,,80,80
Poliwrath,Counter,Fighting,,—,100
Poliwrath,Seismic Toss,Fighting,,—,100
Poliwrath,Rage,Normal,,20,100
Poliwrath,Earthquake,Ground,,100,100
Poliwrath,Fissure,Ground,,—,30
Poliwrath,Psychic,Psychic,,90,100
Poliwrath,Mimic,Normal,,—,100
Poliwrath,Double Team,Normal,,—,—
Poliwrath,Bide,Normal,,—,—
Poliwrath,Metronome,Normal,,—,—
Poliwrath,Skull Bash,Normal,,100,100
Poliwrath,Rest,Psychic,,—,—
Poliwrath,Psywave,Psychic,,—,80
Poliwrath,Substitute,Normal,,—,—
Abra,Teleport,Psychic,,—,—
Abra,Flash,Normal,,—,70
Abra,Mega Punch,Normal,,80,85
Abra,Mega Kick,Normal,,120,75
Abra,Toxic,Poison,,—,85
Abra,Body Slam,Normal,,85,100
Abra,Take Down,Normal,,90,85
Abra,Double-Edge,Normal,,100,100
Abra,Submission,Fighting,,80,80
Abra,Counter,Fighting,,—,100
Abra,Seismic Toss,Fighting,,—,100
Abra,Rage,Normal,,20,100
Abra,Psychic,Psychic,,90,100
Abra,Mimic,Normal,,—,100
Abra,Double Team,Normal,,—,—
Abra,Reflect,Psychic,,—,—
Abra,Bide,Normal,,—,—
Abra,Metronome,Normal,,—,—
Abra,Skull Bash,Normal,,100,100
Abra,Rest,Psychic,,—,—
Abra,Thunder Wave,Electric,,—,100
Abra,Psywave,Psychic,,—,80
Abra,Tri Attack,Normal,,80,100
Abra,Substitute,Normal,,—,—
Kadabra,Confusion,Psychic,,50,100
Kadabra,Disable,Normal,,—,55
Kadabra,Teleport,Psychic,,—,—
Kadabra,Psybeam,Psychic,,65,100
Kadabra,Recover,Normal,,—,—
Kadabra,Psychic,Psychic,,90,100
Kadabra,Reflect,Psychic,,—,—
Kadabra,Flash,Normal,,—,70
Kadabra,Mega Punch,Normal,,80,85
Kadabra,Mega Kick,Normal,,120,75
Kadabra,Toxic,Poison,,—,85
Kadabra,Body Slam,Normal,,85,100
Kadabra,Take Down,Normal,,90,85
Kadabra,Double-Edge,Normal,,100,100
Kadabra,Submission,Fighting,,80,80
Kadabra,Counter,Fighting,,—,100
Kadabra,Seismic Toss,Fighting,,—,100
Kadabra,Rage,Normal,,20,100
Kadabra,Dig,Ground,,100,100
Kadabra,Mimic,Normal,,—,100
Kadabra,Double Team,Normal,,—,—
Kadabra,Bide,Normal,,—,—
Kadabra,Metronome,Normal,,—,—
Kadabra,Skull Bash,Normal,,100,100
Kadabra,Rest,Psychic,,—,—
Kadabra,Thunder Wave,Electric,,—,100
Kadabra,Psywave,Psychic,,—,80
Kadabra,Tri Attack,Normal,,80,100
Kadabra,Substitute,Normal,,—,—
Kadabra,Kinesis,Psychic,,—,80
Alakazam,Confusion,Psychic,,50,100
Alakazam,Disable,Normal,,—,55
Alakazam,Teleport,Psychic,,—,—
Alakazam,Psybeam,Psychic,,65,100
Alakazam,Recover,Normal,,—,—
Alakazam,Psychic,Psychic,,90,100
Alakazam,Reflect,Psychic,,—,—
Alakazam,Flash,Normal,,—,70
Alakazam,Mega Punch,Normal,,80,85
Alakazam,Mega Kick,Normal,,120,75
Alakazam,Toxic,Poison,,—,85
Alakazam,Body Slam,Normal,,85,100
Alakazam,Take Down,Normal,,90,85
Alakazam,Double-Edge,Normal,,100,100
Alakazam,Hyper Beam,Normal,,150,90
Alakazam,Submission,Fighting,,80,80
Alakazam,Counter,Fighting,,—,100
Alakazam,Seismic Toss,Fighting,,—,100
Alakazam,Rage,Normal,,20,100
Alakazam,Dig,Ground,,100,100
Alakazam,Mimic,Normal,,—,100
Alakazam,Double Team,Normal,,—,—
Alakazam,Bide,Normal,,—,—
Alakazam,Metronome,Normal,,—,—
Alakazam,Skull Bash,Normal,,100,100
Alakazam,Rest,Psychic,,—,—
Alakazam,Thunder Wave,Electric,,—,100
Alakazam,Psywave,Psychic,,—,80
Alakazam,Tri Attack,Normal,,80,100
Alakazam,Substitute,Normal,,—,—
Alakazam,Kinesis,Psychic,,—,80
Machop,Karate Chop,Normal,,50,100
Machop,Low Kick,Fighting,,50,90
Machop,Leer,Normal,,—,100
Machop,Focus Energy,Normal,,—,—
Machop,Seismic Toss,Fighting,,—,100
Machop,Submission,Fighting,,80,80
Machop,Strength,Normal,,80,100
Machop,Mega Punch,Normal,,80,85
Machop,Mega Kick,Normal,,120,75
Machop,Toxic,Poison,,—,85
Machop,Body Slam,Normal,,85,100
Machop,Take Down,Normal,,90,85
Machop,Double-Edge,Normal,,100,100
Machop,Counter,Fighting,,—,100
Machop,Rage,Normal,,20,100
Machop,Earthquake,Ground,,100,100
Machop,Fissure,Ground,,—,30
Machop,Dig,Ground,,100,100
Machop,Mimic,Normal,,—,100
Machop,Double Team,Normal,,—,—
Machop,Bide,Normal,,—,—
Machop,Metronome,Normal,,—,—
Machop,Fire Blast,Fire,,120,85
Machop,Skull Bash,Normal,,100,100
Machop,Rest,Psychic,,—,—
Machop,Rock Slide,Rock,,75,90
Machop,Substitute,Normal,,—,—
Machoke,Karate Chop,Normal,,50,100
Machoke,Leer,Normal,,—,100
Machoke,Low Kick,Fighting,,50,90
Machoke,Focus Energy,Normal,,—,—
Machoke,Seismic Toss,Fighting,,—,100
Machoke,Submission,Fighting,,80,80
Machoke,Strength,Normal,,80,100
Machoke,Mega Punch,Normal,,80,85
Machoke,Mega Kick,Normal,,120,75
Machoke,Toxic,Poison,,—,85
Machoke,Body Slam,Normal,,85,100
Machoke,Take Down,Normal,,90,85
Machoke,Double-Edge,Normal,,100,100
Machoke,Counter,Fighting,,—,100
Machoke,Rage,Normal,,20,100
Machoke,Earthquake,Ground,,100,100
Machoke,Fissure,Ground,,—,30
Machoke,Dig,Ground,,100,100
Machoke,Mimic,Normal,,—,100
Machoke,Double Team,Normal,,—,—
Machoke,Bide,Normal,,—,—
Machoke,Metronome,Normal,,—,—
Machoke,Fire Blast,Fire,,120,85
Machoke,Skull Bash,Normal,,100,100
Machoke,Rest,Psychic,,—,—
Machoke,Rock Slide,Rock,,75,90
Machoke,Substitute,Normal,,—,—
Machamp,Karate Chop,Normal,,50,100
Machamp,Leer,Normal,,—,100
Machamp,Low Kick,Fighting,,50,90
Machamp,Focus Energy,Normal,,—,—
Machamp,Seismic Toss,Fighting,,—,100
Machamp,Submission,Fighting,,80,80
Machamp,Strength,Normal,,80,100
Machamp,Mega Punch,Normal,,80,85
Machamp,Mega Kick,Normal,,120,75
Machamp,Toxic,Poison,,—,85
Machamp,Body Slam,Normal,,85,100
Machamp,Take Down,Normal,,90,85
Machamp,Double-Edge,Normal,,100,100
Machamp,Hyper Beam,Normal,,150,90
Machamp,Counter,Fighting,,—,100
Machamp,Rage,Normal,,20,100
Machamp,Earthquake,Ground,,100,100
Machamp,Fissure,Ground,,—,30
Machamp,Dig,Ground,,100,100
Machamp,Mimic,Normal,,—,100
Machamp,Double Team,Normal,,—,—
Machamp,Bide,Normal,,—,—
Machamp,Metronome,Normal,,—,—
Machamp,Fire Blast,Fire,,120,85
Machamp,Skull Bash,Normal,,100,100
Machamp,Rest,Psychic,,—,—
Machamp,Rock Slide,Rock,,75,90
Machamp,Substitute,Normal,,—,—
Bellsprout,Growth,Normal,,—,—
Bellsprout,Vine Whip,Grass,,35,100
Bellsprout,Wrap,Normal,,15,85
Bellsprout,Poison Powder,Poison,,—,75
Bellsprout,Sleep Powder,Grass,,—,75
Bellsprout,Stun Spore,Grass,,—,75
Bellsprout,Acid,Poison,,40,100
Bellsprout,Razor Leaf,Grass,,55,95
Bellsprout,Slam,Normal,,80,75
Bellsprout,Cut,Normal,,50,95
Bellsprout,Swords Dance,Normal,,—,—
Bellsprout,Toxic,Poison,,—,85
Bellsprout,Take Down,Normal,,90,85
Bellsprout,Double-Edge,Normal,,100,100
Bellsprout,Rage,Normal,,20,100
Bellsprout,Mega Drain,Grass,,40,100
Bellsprout,Solar Beam,Grass,,120,100
Bellsprout,Mimic,Normal,,—,100
Bellsprout,Double Team,Normal,,—,—
Bellsprout,Reflect,Psychic,,—,—
Bellsprout,Bide,Normal,,—,—
Bellsprout,Rest,Psychic,,—,—
Bellsprout,Substitute,Normal,,—,—
Weepinbell,Growth,Normal,,—,—
Weepinbell,Vine Whip,Grass,,35,100
Weepinbell,Wrap,Normal,,15,85
Weepinbell,Poison Powder,Poison,,—,75
Weepinbell,Sleep Powder,Grass,,—,75
Weepinbell,Stun Spore,Grass,,—,75
Weepinbell,Acid,Poison,,40,100
Weepinbell,Razor Leaf,Grass,,55,95
Weepinbell,Slam,Normal,,80,75
Weepinbell,Cut,Normal,,50,95
Weepinbell,Swords Dance,Normal,,—,—
Weepinbell,Toxic,Poison,,—,85
Weepinbell,Take Down,Normal,,90,85
Weepinbell,Double-Edge,Normal,,100,100
Weepinbell,Rage,Normal,,20,100
Weepinbell,Mega Drain,Grass,,40,100
Weepinbell,Solar Beam,Grass,,120,100
Weepinbell,Mimic,Normal,,—,100
Weepinbell,Double Team,Normal,,—,—
Weepinbell,Reflect,Psychic,,—,—
Weepinbell,Bide,Normal,,—,—
Weepinbell,Rest,Psychic,,—,—
Weepinbell,Substitute,Normal,,—,—
Victreebel,Acid,Poison,,40,100
Victreebel,Razor Leaf,Grass,,55,95
Victreebel,Sleep Powder,Grass,,—,75
Victreebel,Stun Spore,Grass,,—,75
Victreebel,Wrap,Normal,,15,85
Victreebel,Poison Powder,Poison,,—,75
Victreebel,Growth,Normal,,—,—
Victreebel,Slam,Normal,,80,75
Victreebel,Vine Whip,Grass,,35,100
Victreebel,Cut,Normal,,50,95
Victreebel,Swords Dance,Normal,,—,—
Victreebel,Toxic,Poison,,—,85
Victreebel,Body Slam,Normal,,85,100
Victreebel,Take Down,Normal,,90,85
Victreebel,Double-Edge,Normal,,100,100
Victreebel,Hyper Beam,Normal,,150,90
Victreebel,Rage,Normal,,20,100
Victreebel,Mega Drain,Grass,,40,100
Victreebel,Solar Beam,Grass,,120,100
Victreebel,Mimic,Normal,,—,100
Victreebel,Double Team,Normal,,—,—
Victreebel,Reflect,Psychic,,—,—
Victreebel,Bide,Normal,,—,—
Victreebel,Rest,Psychic,,—,—
Victreebel,Substitute,Normal,,—,—
Tentacool,Acid,Poison,,40,100
Tentacool,Supersonic,Normal,,—,55
Tentacool,Wrap,Normal,,15,85
Tentacool,Poison Sting,Poison,,15,100
Tentacool,Water Gun,Water,,40,100
Tentacool,Constrict,Normal,,10,100
Tentacool,Barrier,Psychic,,—,—
Tentacool,Screech,Normal,,—,85
Tentacool,Hydro Pump,Water,,120,80
Tentacool,Cut,Normal,,50,95
Tentacool,Surf,Water,,95,100
Tentacool,Swords Dance,Normal,,—,—
Tentacool,Toxic,Poison,,—,85
Tentacool,Take Down,Normal,,90,85
Tentacool,Double-Edge,Normal,,100,100
Tentacool,BubbleBeam,Water,,65,100
Tentacool,Ice Beam,Ice,,95,100
Tentacool,Blizzard,Ice,,120,90
Tentacool,Rage,Normal,,20,100
Tentacool,Mega Drain,Grass,,40,100
Tentacool,Mimic,Normal,,—,100
Tentacool,Double Team,Normal,,—,—
Tentacool,Reflect,Psychic,,—,—
Tentacool,Bide,Normal,,—,—
Tentacool,Skull Bash,Normal,,100,100
Tentacool,Rest,Psychic,,—,—
Tentacool,Substitute,Normal,,—,—
Tentacruel,Acid,Poison,,40,100
Tentacruel,Supersonic,Normal,,—,55
Tentacruel,Wrap,Normal,,15,85
Tentacruel,Poison Sting,Poison,,15,100
Tentacruel,Water Gun,Water,,40,100
Tentacruel,Constrict,Normal,,10,100
Tentacruel,Barrier,Psychic,,—,—
Tentacruel,Screech,Normal,,—,85
Tentacruel,Hydro Pump,Water,,120,80
Tentacruel,Cut,Normal,,50,95
Tentacruel,Surf,Water,,95,100
Tentacruel,Swords Dance,Normal,,—,—
Tentacruel,Toxic,Poison,,—,85
Tentacruel,Take Down,Normal,,90,85
Tentacruel,Double-Edge,Normal,,100,100
Tentacruel,BubbleBeam,Water,,65,100
Tentacruel,Ice Beam,Ice,,95,100
Tentacruel,Blizzard,Ice,,120,90
Tentacruel,Hyper Beam,Normal,,150,90
Tentacruel,Rage,Normal,,20,100
Tentacruel,Mega Drain,Grass,,40,100
Tentacruel,Mimic,Normal,,—,100
Tentacruel,Double Team,Normal,,—,—
Tentacruel,Reflect,Psychic,,—,—
Tentacruel,Bide,Normal,,—,—
Tentacruel,Skull Bash,Normal,,100,100
Tentacruel,Rest,Psychic,,—,—
Tentacruel,Substitute,Normal,,—,—
Geodude,Tackle,Normal,,35,95
Geodude,Defense Curl,Normal,,—,—
Geodude,Rock Throw,Rock,,50,65
Geodude,Self-Destruct,Normal,,130,100
Geodude,Harden,Normal,,—,—
Geodude,Earthquake,Ground,,100,100
Geodude,Explosion,Normal,,170,100
Geodude,Strength,Normal,,80,100
Geodude,Mega Punch,Normal,,80,85
Geodude,Toxic,Poison,,—,85
Geodude,Body Slam,Normal,,85,100
Geodude,Take Down,Normal,,90,85
Geodude,Double-Edge,Normal,,100,100
Geodude,Submission,Fighting,,80,80
Geodude,Counter,Fighting,,—,100
Geodude,Seismic Toss,Fighting,,—,100
Geodude,Rage,Normal,,20,100
Geodude,Fissure,Ground,,—,30
Geodude,Dig,Ground,,100,100
Geodude,Mimic,Normal,,—,100
Geodude,Double Team,Normal,,—,—
Geodude,Bide,Normal,,—,—
Geodude,Metronome,Normal,,—,—
Geodude,Fire Blast,Fire,,120,85
Geodude,Rest,Psychic,,—,—
Geodude,Rock Slide,Rock,,75,90
Geodude,Substitute,Normal,,—,—
Graveler,Defense Curl,Normal,,—,—
Graveler,Tackle,Normal,,35,95
Graveler,Rock Throw,Rock,,50,65
Graveler,Self-Destruct,Normal,,130,100
Graveler,Harden,Normal,,—,—
Graveler,Earthquake,Ground,,100,100
Graveler,Explosion,Normal,,170,100
Graveler,Strength,Normal,,80,100
Graveler,Mega Punch,Normal,,80,85
Graveler,Toxic,Poison,,—,85
Graveler,Body Slam,Normal,,85,100
Graveler,Take Down,Normal,,90,85
Graveler,Double-Edge,Normal,,100,100
Graveler,Submission,Fighting,,80,80
Graveler,Counter,Fighting,,—,100
Graveler,Seismic Toss,Fighting,,—,100
Graveler,Rage,Normal,,20,100
Graveler,Fissure,Ground,,—,30
Graveler,Dig,Ground,,100,100
Graveler,Mimic,Normal,,—,100
Graveler,Double Team,Normal,,—,—
Graveler,Bide,Normal,,—,—
Graveler,Metronome,Normal,,—,—
Graveler,Fire Blast,Fire,,120,85
Graveler,Rest,Psychic,,—,—
Graveler,Rock Slide,Rock,,75,90
Graveler,Substitute,Normal,,—,—
Golem,Defense Curl,Normal,,—,—
Golem,Tackle,Normal,,35,95
Golem,Rock Throw,Rock,,50,65
Golem,Self-Destruct,Normal,,130,100
Golem,Harden,Normal,,—,—
Golem,Earthquake,Ground,,100,100
Golem,Explosion,Normal,,170,100
Golem,Strength,Normal,,80,100
Golem,Mega Punch,Normal,,80,85
Golem,Mega Kick,Normal,,120,75
Golem,Toxic,Poison,,—,85
Golem,Body Slam,Normal,,85,100
Golem,Take Down,Normal,,90,85
Golem,Double-Edge,Normal,,100,100
Golem,Hyper Beam,Normal,,150,90
Golem,Submission,Fighting,,80,80
Golem,Counter,Fighting,,—,100
Golem,Seismic Toss,Fighting,,—,100
Golem,Rage,Normal,,20,100
Golem,Fissure,Ground,,—,30
Golem,Dig,Ground,,100,100
Golem,Mimic,Normal,,—,100
Golem,Double Team,Normal,,—,—
Golem,Bide,Normal,,—,—
Golem,Metronome,Normal,,—,—
Golem,Fire Blast,Fire,,120,85
Golem,Rest,Psychic,,—,—
Golem,Rock Slide,Rock,,75,90
Golem,Substitute,Normal,,—,—
Ponyta,Ember,Fire,,40,100
Ponyta,Tail Whip,Normal,,—,100
Ponyta,Stomp,Normal,,65,100
Ponyta,Growl,Normal,,—,100
Ponyta,Fire Spin,Fire,,15,70
Ponyta,Take Down,Normal,,90,85
Ponyta,Agility,Psychic,,—,—
Ponyta,Toxic,Poison,,—,85
Ponyta,Horn Drill,Normal,,—,30
Ponyta,Body Slam,Normal,,85,100
Ponyta,Double-Edge,Normal,,100,100
Ponyta,Rage,Normal,,20,100
Ponyta,Mimic,Normal,,—,100
Ponyta,Double Team,Normal,,—,—
Ponyta,Reflect,Psychic,,—,—
Ponyta,Bide,Normal,,—,—
Ponyta,Fire Blast,Fire,,120,85
Ponyta,Swift,Normal,,60,
Ponyta,Skull Bash,Normal,,100,100
Ponyta,Rest,Psychic,,—,—
Ponyta,Substitute,Normal,,—,—
Rapidash,Ember,Fire,,40,100
Rapidash,Growl,Normal,,—,100
Rapidash,Stomp,Normal,,65,100
Rapidash,Tail Whip,Normal,,—,100
Rapidash,Fire Spin,Fire,,15,70
Rapidash,Take Down,Normal,,90,85
Rapidash,Agility,Psychic,,—,—
Rapidash,Toxic,Poison,,—,85
Rapidash,Horn Drill,Normal,,—,30
Rapidash,Body Slam,Normal,,85,100
Rapidash,Double-Edge,Normal,,100,100
Rapidash,Hyper Beam,Normal,,150,90
Rapidash,Rage,Normal,,20,100
Rapidash,Mimic,Normal,,—,100
Rapidash,Double Team,Normal,,—,—
Rapidash,Reflect,Psychic,,—,—
Rapidash,Bide,Normal,,—,—
Rapidash,Fire Blast,Fire,,120,85
Rapidash,Swift,Normal,,60,
Rapidash,Skull Bash,Normal,,100,100
Rapidash,Rest,Psychic,,—,—
Rapidash,Substitute,Normal,,—,—
Slowpoke,Confusion,Psychic,,50,100
Slowpoke,Disable,Normal,,—,55
Slowpoke,Headbutt,Normal,,70,100
Slowpoke,Growl,Normal,,—,100
Slowpoke,Water Gun,Water,,40,100
Slowpoke,Amnesia,Psychic,,—,—
Slowpoke,Psychic,Psychic,,90,100
Slowpoke,Surf,Water,,95,100
Slowpoke,Strength,Normal,,80,100
Slowpoke,Flash,Normal,,—,70
Slowpoke,Toxic,Poison,,—,85
Slowpoke,Body Slam,Normal,,85,100
Slowpoke,Take Down,Normal,,90,85
Slowpoke,Double-Edge,Normal,,100,100
Slowpoke,BubbleBeam,Water,,65,100
Slowpoke,Ice Beam,Ice,,95,100
Slowpoke,Blizzard,Ice,,120,90
Slowpoke,Pay Day,Normal,,40,100
Slowpoke,Rage,Normal,,20,100
Slowpoke,Earthquake,Ground,,100,100
Slowpoke,Fissure,Ground,,—,30
Slowpoke,Dig,Ground,,100,100
Slowpoke,Teleport,Psychic,,—,—
Slowpoke,Mimic,Normal,,—,100
Slowpoke,Double Team,Normal,,—,—
Slowpoke,Reflect,Psychic,,—,—
Slowpoke,Bide,Normal,,—,—
Slowpoke,Fire Blast,Fire,,120,85
Slowpoke,Swift,Normal,,60,
Slowpoke,Skull Bash,Normal,,100,100
Slowpoke,Rest,Psychic,,—,—
Slowpoke,Thunder Wave,Electric,,—,100
Slowpoke,Psywave,Psychic,,—,80
Slowpoke,Tri Attack,Normal,,80,100
Slowpoke,Substitute,Normal,,—,—
Slowbro,Confusion,Psychic,,50,100
Slowbro,Disable,Normal,,—,55
Slowbro,Headbutt,Normal,,70,100
Slowbro,Growl,Normal,,—,100
Slowbro,Water Gun,Water,,40,100
Slowbro,Withdraw,Water,,—,—
Slowbro,Amnesia,Psychic,,—,—
Slowbro,Psychic,Psychic,,90,100
Slowbro,Surf,Water,,95,100
Slowbro,Strength,Normal,,80,100
Slowbro,Flash,Normal,,—,70
Slowbro,Mega Punch,Normal,,80,85
Slowbro,Mega Kick,Normal,,120,75
Slowbro,Toxic,Poison,,—,85
Slowbro,Body Slam,Normal,,85,100
Slowbro,Take Down,Normal,,90,85
Slowbro,Double-Edge,Normal,,100,100
